  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.5389   0.01057   0.00432   0.0155   1.0000   0.3571
  -3.500  -0.4772   0.01012   0.00417   0.0137   0.9963   0.4308
  -3.000  -0.3973   0.00964   0.00399   0.0083   0.9861   0.5096
  -2.500  -0.3181   0.00919   0.00383   0.0034   0.9751   0.5835
  -2.000  -0.2380   0.00875   0.00366  -0.0015   0.9643   0.6528
  -1.500  -0.1685   0.00834   0.00349  -0.0036   0.9473   0.7138
  -1.000  -0.1066   0.00799   0.00334  -0.0038   0.9251   0.7685
  -0.500  -0.0520   0.00776   0.00325  -0.0023   0.8954   0.8166
   0.000   0.0000   0.00768   0.00321  -0.0000   0.8592   0.8592
   0.500   0.0520   0.00776   0.00325   0.0022   0.8166   0.8954
   1.000   0.1067   0.00799   0.00334   0.0038   0.7685   0.9251
   1.500   0.1685   0.00834   0.00349   0.0036   0.7139   0.9473
   2.000   0.2380   0.00875   0.00366   0.0015   0.6528   0.9643
   2.500   0.3181   0.00919   0.00383  -0.0034   0.5835   0.9751
   3.000   0.3973   0.00964   0.00399  -0.0083   0.5095   0.9862
   3.500   0.4772   0.01012   0.00417  -0.0137   0.4308   0.9963
   4.000   0.5388   0.01057   0.00432  -0.0155   0.3571   1.0000
   4.500   0.5835   0.01107   0.00456  -0.0139   0.2907   1.0000
   5.000   0.6263   0.01171   0.00493  -0.0119   0.2269   1.0000
   5.500   0.6676   0.01250   0.00545  -0.0095   0.1706   1.0000
   6.000   0.7076   0.01342   0.00613  -0.0069   0.1290   1.0000
   6.500   0.7468   0.01441   0.00697  -0.0040   0.1016   1.0000
   7.000   0.7859   0.01542   0.00793  -0.0011   0.0837   1.0000
   7.500   0.8248   0.01651   0.00898   0.0018   0.0714   1.0000
   8.000   0.8625   0.01777   0.01023   0.0049   0.0625   1.0000
   8.500   0.9011   0.01907   0.01157   0.0077   0.0557   1.0000
   9.000   0.9397   0.02055   0.01307   0.0103   0.0503   1.0000
   9.500   0.9781   0.02220   0.01474   0.0127   0.0461   1.0000
  10.000   1.0168   0.02387   0.01645   0.0149   0.0424   1.0000
  10.500   1.0537   0.02576   0.01856   0.0174   0.0394   1.0000
  11.000   1.0889   0.02800   0.02093   0.0197   0.0369   1.0000
  11.500   1.1218   0.03017   0.02326   0.0222   0.0348   1.0000
  12.000   1.1473   0.03307   0.02647   0.0253   0.0330   1.0000
